trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2510070,1,2,1 Downtown,,1,11,shp-1-01,1,1
2230090,1,1,1 Downtown,,1,11,shp-1-01,1,1
2230020,1,3,1 Downtown,,1,11,shp-1-01,1,1
1253070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
1063020,1,3,1 Downtown,,1,11,shp-1-01,1,1
1845020,1,3,1 Downtown,,1,11,shp-1-01,1,1
1840020,1,3,1 Downtown,,1,11,shp-1-01,1,1
1792070,1,2,1 Downtown,,1,11,shp-1-01,1,1
78090,1,1,1 Downtown,,1,11,shp-1-01,1,1
78020,1,3,1 Downtown,,1,11,shp-1-01,1,1
332070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
375090,1,1,1 Downtown,,1,110,shp-1-01,1,1
1780010,1,4,1 Downtown,,1,11,shp-1-01,1,1
1548090,1,1,1 Downtown,,1,11,shp-1-01,1,1
1202090,1,1,1 Downtown,,1,11,shp-1-01,1,1
1408070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
183010,1,4,1 Downtown,,1,11,shp-1-01,1,1
1053020,1,3,1 Downtown,,1,110,shp-1-01,1,1
13070,1,2,1 Downtown,,1,11,shp-1-01,1,1
652070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
2212020,1,3,1 Downtown,,1,210,shp-1-01,1,1
1053090,1,1,1 Downtown,,1,110,shp-1-01,1,1
1001070,1,2,1 Downtown,,1,11,shp-1-01,1,1
1281020,1,3,1 Downtown,,1,11,shp-1-01,1,1
1905020,1,3,1 Downtown,,1,11,shp-1-01,1,1
1930090,1,1,1 Downtown,,1,11,shp-1-01,1,1
918090,1,1,1 Downtown,,1,210,shp-1-01,1,1
422070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
1578090,1,1,1 Downtown,,1,110,shp-1-01,1,1
1730070,1,2,1 Downtown,,1,11,shp-1-01,1,1
1845090,1,1,1 Downtown,,1,11,shp-1-01,1,1
2538020,1,3,1 Downtown,,1,11,shp-1-01,1,1
2581070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
828070,1,2,1 Downtown,,1,11,shp-1-01,1,1
2591070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
615020,1,3,1 Downtown,,1,11,shp-1-01,1,1
462010,1,4,1 Downtown,,1,11,shp-1-01,1,1
1217090,1,1,1 Downtown,,1,110,shp-1-01,1,1
2212090,1,1,1 Downtown,,1,210,shp-1-01,1,1
974020,1,3,1 Downtown,,1,11,shp-1-01,1,1
417070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
718090,1,1,1 Downtown,,1,11,shp-1-01,1,1
1756020,1,3,1 Downtown,,1,11,shp-1-01,1,1
225090,1,1,1 Downtown,,1,11,shp-1-01,1,1
1840090,1,1,1 Downtown,,1,11,shp-1-01,1,1
2150020,1,3,1 Downtown,,1,11,shp-1-01,1,1
375020,1,3,1 Downtown,,1,110,shp-1-01,1,1
1058020,1,3,1 Downtown,,1,110,shp-1-01,1,1
1731010,1,4,1 Downtown,,1,11,shp-1-01,1,1
477020,1,3,1 Downtown,,1,210,shp-1-01,1,1
2024090,1,1,1 Downtown,,1,110,shp-1-01,1,1
681010,1,4,1 Downtown,,1,11,shp-1-01,1,1
1018020,1,3,1 Downtown,,1,110,shp-1-01,1,1
2083090,1,1,1 Downtown,,1,210,shp-1-01,1,1
1853010,1,4,1 Downtown,,1,11,shp-1-01,1,1
2560020,1,3,1 Downtown,,1,110,shp-1-01,1,1
2327010,1,4,1 Downtown,,1,11,shp-1-01,1,1
872090,1,1,1 Downtown,,1,210,shp-1-01,1,1
2560090,1,1,1 Downtown,,1,110,shp-1-01,1,1
1018090,1,1,1 Downtown,,1,110,shp-1-01,1,1
1968070,1,2,1 Downtown,,1,11,shp-1-01,1,1
1270020,1,3,1 Downtown,,1,11,shp-1-01,1,1
22070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
477090,1,1,1 Downtown,,1,210,shp-1-01,1,1
974090,1,1,1 Downtown,,1,11,shp-1-01,1,1
1113020,1,3,1 Downtown,,1,110,shp-1-01,1,1
1281090,1,1,1 Downtown,,1,11,shp-1-01,1,1
991070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
1010,1,4,1 Downtown,,1,11,shp-1-01,1,1
2538090,1,1,1 Downtown,,1,11,shp-1-01,1,1
2083020,1,3,1 Downtown,,1,210,shp-1-01,1,1
2309010,1,4,1 Downtown,,1,11,shp-1-01,1,1
583090,1,1,1 Downtown,,1,110,shp-1-01,1,1
1291020,1,3,1 Downtown,,1,5232,shp-1-01,1,1
1202020,1,3,1 Downtown,,1,11,shp-1-01,1,1
99090,1,1,1 Downtown,,1,11,shp-1-01,1,1
2009070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
1528070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
838070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
1454070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
1952020,1,3,1 Downtown,,1,11,shp-1-01,1,1
1266070,1,2,1 Downtown,,1,1107,shp-1-01,1,1
1158020,1,3,1 Downtown,,1,210,shp-1-01,1,1
1930020,1,3,1 Downtown,,1,11,shp-1-01,1,1
833070,1,2,1 Downtown,,1,11,shp-1-01,1,1
615090,1,1,1 Downtown,,1,11,shp-1-01,1,1
2618010,1,4,1 Downtown,,1,11,shp-1-01,1,1
178010,1,4,1 Downtown,,1,11,shp-1-01,1,1
1756090,1,1,1 Downtown,,1,11,shp-1-01,1,1
